iter	Passed	Remaining
0	182	54539
1	208	31015
2	234	23194
3	257	19091
4	283	16735
5	307	15044
6	336	14095
7	363	13277
8	389	12596
9	416	12071
10	440	11576
11	469	11279
12	494	10910
13	523	10695
14	550	10466
15	577	10255
16	604	10070
17	631	9901
18	657	9720
19	685	9595
20	714	9490
21	742	9384
22	770	9276
23	798	9182
24	824	9065
25	850	8964
26	879	8897
27	905	8799
28	934	8730
29	960	8641
30	986	8557
31	1013	8489
32	1038	8402
33	1066	8344
34	1095	8292
35	1123	8241
36	1151	8181
37	1177	8116
38	1203	8054
39	1232	8008
40	1258	7947
41	1286	7904
42	1313	7849
43	1341	7803
44	1368	7756
45	1395	7704
46	1420	7648
47	1447	7599
48	1475	7560
49	1505	7529
50	1529	7467
51	1556	7422
52	1581	7369
53	1610	7337
54	1636	7288
55	1661	7240
56	1689	7201
57	1714	7152
58	1743	7121
59	1769	7078
60	1797	7041
61	1824	7005
62	1851	6963
63	1877	6923
64	1906	6891
65	1930	6843
66	1957	6805
67	1985	6775
68	2010	6732
69	2038	6697
70	2066	6664
71	2097	6643
72	2125	6610
73	2153	6576
74	2183	6550
75	2211	6517
76	2239	6486
77	2268	6457
78	2296	6423
79	2324	6392
80	2352	6361
81	2379	6327
82	2405	6288
83	2431	6252
84	2456	6213
85	2482	6177
86	2508	6142
87	2539	6116
88	2567	6086
89	2590	6045
90	2618	6013
91	2645	5980
92	2671	5946
93	2697	5911
94	2725	5880
95	2758	5862
96	2786	5831
97	2814	5800
98	2843	5773
99	2871	5742
100	2901	5716
101	2926	5681
102	2952	5647
103	2982	5620
104	3006	5583
105	3032	5550
106	3058	5516
107	3086	5487
108	3116	5461
109	3145	5432
110	3170	5398
111	3199	5370
112	3223	5334
113	3250	5303
114	3278	5274
115	3305	5243
116	3332	5212
117	3358	5179
118	3385	5148
119	3410	5115
120	3436	5083
121	3463	5053
122	3489	5021
123	3516	4991
124	3544	4961
125	3569	4928
126	3593	4895
127	3620	4865
128	3647	4835
129	3675	4805
130	3701	4775
131	3727	4744
132	3753	4712
133	3778	4680
134	3806	4652
135	3831	4619
136	3855	4587
137	3879	4554
138	3906	4524
139	3931	4493
140	3956	4461
141	3979	4427
142	4003	4395
143	4030	4365
144	4056	4336
145	4082	4306
146	4109	4277
147	4133	4244
148	4158	4214
149	4187	4187
150	4213	4157
151	4237	4126
152	4262	4095
153	4287	4065
154	4312	4033
155	4338	4004
156	4363	3974
157	4388	3943
158	4411	3912
159	4437	3882
160	4464	3854
161	4488	3823
162	4515	3794
163	4539	3764
164	4567	3737
165	4591	3706
166	4619	3679
167	4643	3648
168	4669	3619
169	4694	3589
170	4723	3563
171	4750	3535
172	4773	3504
173	4795	3472
174	4820	3443
175	4845	3414
176	4871	3385
177	4896	3355
178	4920	3326
179	4946	3297
180	4971	3268
181	4998	3240
182	5022	3211
183	5047	3181
184	5066	3149
185	5087	3117
186	5112	3089
187	5137	3060
188	5157	3029
189	5183	3000
190	5202	2968
191	5224	2938
192	5250	2910
193	5269	2878
194	5295	2851
195	5318	2822
196	5344	2794
197	5369	2766
198	5396	2738
199	5415	2707
200	5445	2682
201	5474	2655
202	5499	2628
203	5522	2598
204	5545	2569
205	5568	2541
206	5596	2514
207	5621	2486
208	5643	2457
209	5669	2429
210	5689	2399
211	5720	2374
212	5742	2345
213	5770	2318
214	5789	2288
215	5816	2262
216	5840	2233
217	5866	2206
218	5886	2177
219	5909	2149
220	5937	2122
221	5957	2093
222	5977	2063
223	6002	2036
224	6021	2007
225	6045	1979
226	6068	1951
227	6093	1924
228	6123	1898
229	6148	1871
230	6171	1843
231	6195	1815
232	6220	1788
233	6243	1760
234	6269	1734
235	6290	1705
236	6310	1677
237	6329	1648
238	6354	1621
239	6374	1593
240	6397	1566
241	6421	1538
242	6445	1511
243	6464	1483
244	6485	1455
245	6508	1428
246	6532	1401
247	6561	1375
248	6584	1348
249	6605	1321
250	6626	1293
251	6651	1266
252	6675	1240
253	6704	1214
254	6733	1188
255	6759	1161
256	6785	1135
257	6809	1108
258	6834	1081
259	6857	1054
260	6882	1028
261	6907	1001
262	6934	975
263	6960	949
264	6986	922
265	7020	897
266	7044	870
267	7066	843
268	7094	817
269	7119	791
270	7145	764
271	7166	737
272	7186	710
273	7211	684
274	7237	657
275	7264	631
276	7289	605
277	7316	579
278	7342	552
279	7366	526
280	7392	499
281	7418	473
282	7442	447
283	7466	420
284	7494	394
285	7518	368
286	7540	341
287	7561	315
288	7587	288
289	7614	262
290	7634	236
291	7654	209
292	7674	183
293	7699	157
294	7726	130
295	7750	104
296	7769	78
297	7790	52
298	7815	26
299	7834	0
